Artist,Popularity
Tracy Chapman,74
Laurence O'Keefe,59
La Bouche,69
Faheem Abdullah,75
Repudilation,16
Coyote Theory,61
Peso Pluma,91
Melanie C,57
Major Lazer,78
BROCKHAMPTON,65
STARSET,66
WILLOW,73
Knock2,60
NewJeans,80
Joey Valence & Brae,67
Vacations,71
KK,68
Linda XO,51
ORION,39
The Magnetic Fields,58
Bananarama,61
The Communards,54
Fcukers,63
Fred again..,82
Frank Sinatra,78
Daniel Deluxe,45
MGMT,77
OneRepublic,84
Rick James,63
Al Green,68
Ash Costello,55
Kellin Quinn,65
Atif Aslam,82
Black Box,60
Honey Dijon,53
Gloria Trevi,73
Pan-Pot,45
Thunderpuss,36
Ludacris,81
James Ruskin,25
Andrew Rannells,58
Kelis,66
Tory Lanez,83
Phil Wickham,72
Derivakat,54
Ado,78
Anastacia,66
of Montreal,54
Reba McEntire,64
Victoria Monét,65
Trixie Mattel,45
Steve Grand,21
Leslie Odom Jr.,75
Sunidhi Chauhan,80
Jakeneutron,59
Mark Broom,39
The Gaslight Orchestra,13
R3HAB,72
Dean Blunt,67
Duster,65
Cody Belew,23
Sub Urban,67
Elevation Worship,78
Rage Against The Machine,73
Lorna Shore,62
Anne Louise,32
pichuu,38
Dom Dolla,69
Basement Jaxx,61
Pepper,59
yeule,56
Trippie Redd,81
quannnic,53
Jess Glynne,77
Alex Newell,56
bôa,64
A. G. Cook,55
Anderson .Paak,78
Chase Atlantic,81
NF,79
De La Soul,74
Eric Prydz,68
Zegovia,18
Dinosaur Jr.,55
Wyclef Jean,77
Of Monsters and Men,71
Edson Pride,28
Fried By Fluoride,61
Guy Scheiman,37
Akimbosa,20
Ancient Methods,24
Ness,70
Waylon Jennings,71
People & Songs,51
Nancy Ajram,66
ScHoolboy Q,74
Gloc-9,65
The Oozes,46
Wheatus,69
UMEK,43
Beats By AI,43
AI Larry Bob,26
Torren Foot,48
Advanced Human,7
Trinity (AU),39
Fanon Flowers,8
Stephanie Sykes,9
SLV,52
Lewis Fautzi,29
Neoni,69
Cults,67
Suki Waterhouse,73
FKA twigs,66
Galantis,72
Duke Dumont,70
Birat Bitz,45
TR/ST,47
Jeff Buckley,75
Disney,88
Poor Man's Poison,64
Lollia,50
Mustard,74
Fetty Wap,77
Red Velvet,73
Pastel Ghost,65
PWR BTTM,28
Jo Dee Messina,63
Freemasons,49
Limp Bizkit,81
LGBTQ+,84
Idina Menzel,71
S3RL,66
CeCe Winans,68
Hypaton,66
Otis Redding,71
Katie Pruitt,42
6FU;,57
PNAU,72
Tito Double P,89
Dr. Dre,81
Chris Housman,38
Big Freedia,49
Nicole Scherzinger,64
Fedde Le Grand,60
Benny Dayal,73
A.R. Rahman,84
Jubin Nautiyal,76
Muse,80
Chief Keef,78
Culture Club,65
La Zowi,54
London Yellow,35
Army Of Lovers,53
a-ha,75
Susannah Joffe,58
Peggy Gou,68
Lil Yachty,78
Sodikken,51
PARTYNEXTDOOR,85
MIKA,67
Disturbed,77
Lola Young,76
Tommy Love,29
Jeanie Tracy,31
Clean Bandit,79
Bring Me The Horizon,81
hoshie star,62
Slightly Stoopid,67
Lincoln,25
Tomoya Ohtani,58
Redman,65
Hirsute Pursuit,11
Stellar,66
Flo Milli,73
Erasure,66
311,67
Rahat Fateh Ali Khan,78
Skillet,77
Heavenly,37
Ghostemane,67
Isabel LaRosa,71
julie,59
Daddy Yankee,89
ILLIT,84
Cast Recording,54
Kah-Lo,62
Miguel,83
Artemas,75
Mason,86
Princess Superstar,59
Loretta Lynn,57
Olivia Dean,90
Rainbow Kitten Surprise,72
Baasik,67
The Lumineers,78
Rebecca Black,55
3LAU,51
Gabe Liedman,3
Kool & The Gang,71
Wolf Parade,64
felix jaehn,74
Brooks & Dunn,76
The Offspring,80
girli,50
Sleepy Hallow,71
GRANT KNOCHE,37
Guns N' Roses,83
Gigamesh,65
Sigala,66
Speed Gang,55
Hydracoque,30
Bob the Drag Queen,29
Rabi Ghosh,16
Joy Again,62
underscores,65
Natalia Lafourcade,74
Niv Ast,21
Elfenberg,41
juju<3,58
Faith Hill,65
The Beaches,72
Zach Bryan,88
Mika Singh,69
Kanaria,59
Alex Brightman,65
Biscits,54
YOASOBI,75
Nina Simone,70
Hilary Duff,69
Cloudy June,51
John Summit,77
whatsaheart,62
SIDEPIECE,65
Only Fire,49
The Pointer Sisters,63
TEMPOREX,58
Calle 24,82
John + Jane Q. Public,58
S. D. Burman,62
The Growlers,58
Los Campesinos!,52
Busta Rhymes,74
Tribal Eo,3
Anuel AA,90
Alan Jackson,77
Céline Dion,78
The Japanese House,59
Walker & Royce,82
Ricky Martin,75
Snatam Kaur,55
Elio Mei,54
half•alive,57
